arquivo,ano,uf,n_registros,n_colunas,hash_md5,tamanho_bytes,data_processamento
CPNIPR97.DBF,1997,PR,3591,9,e9f9f0ddb135a493a1dc852fdc0cbd4e,158327,2026-02-27 17:26:45.689911
CPNIRJ97.DBF,1997,RJ,819,9,b72e35c6e0020eab50947d6c80dbb9df,36359,2026-02-27 17:26:48.529797
CPNIRN97.DBF,1997,RN,1494,9,20f8f89eebeb7cd6f1ab53863122aa35,66059,2026-02-27 17:26:51.386305
CPNIRO97.DBF,1997,RO,468,9,9ff1320fc7a79fb54e3b2e4b94e0bc49,20915,2026-02-27 17:26:54.493786
CPNIRR97.DBF,1997,RR,135,9,56b22014f836ee966250fa8f545af63f,6263,2026-02-27 17:26:57.466753
CPNIRS97.DBF,1997,RS,4203,9,a65f4865c24f6b35bff2c825eba85c34,185255,2026-02-27 17:27:00.972843
CPNISC97.DBF,1997,SC,2628,9,a046985be094a7273acbda1340d9eec2,115955,2026-02-27 17:27:04.077059
CPNISE97.DBF,1997,SE,675,9,afbc4e40da022cb1c40191460c0290f6,30023,2026-02-27 17:27:07.030012
CPNISP97.DBF,1997,SP,5805,9,f58ce8c025fcd662d4a95e7dcec15775,255743,2026-02-27 17:27:10.518817
CPNITO97.DBF,1997,TO,1251,9,74611044dfe93b19cd66f5e2fbc88e3e,55367,2026-02-27 17:27:13.806419
CPNIAC98.DBF,1998,AC,198,9,1d7d226aca3f7edd2ae1b1d75fd71472,9035,2026-02-27 17:27:18.247909
CPNIAL98.DBF,1998,AL,909,9,cf93ab467ddac888b46a882908746598,40319,2026-02-27 17:27:21.179976
CPNIAM98.DBF,1998,AM,558,9,1756f7f09513def86a979628d59e0be3,24875,2026-02-27 17:27:23.937298
CPNIAP98.DBF,1998,AP,144,9,0885956e95435b44990bf2c3ade05631,6659,2026-02-27 17:27:27.012726
CPNIBA98.DBF,1998,BA,3735,9,49cb27de8e7cb92c93c3581846472e2e,164663,2026-02-27 17:27:30.384922
CPNICE98.DBF,1998,CE,1656,9,bd066bef4abcf231b9ca938150fc035d,73187,2026-02-27 17:27:33.835366
CPNIDF98.DBF,1998,DF,9,9,6eb794621f583585c301e2d311de340d,719,2026-02-27 17:27:36.297861
