arquivo,etag_servidor,content_length,hash_md5_zip,n_registros,n_partes_json,data_processamento,ano,mes,url_origem,pipeline_version,git_commit
vacinacao_dez_2022_json.zip,"""deadf398fda2253466cd663469d9bbae""",1342971225,deadf398fda2253466cd663469d9bbae,7141500,18,2026-02-24 21:45:03.143964,2022,12,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_dez_2022.json.zip,,
vacinacao_jan_2023_json.zip,"""4da1a81adba474c65bef8cbf26ea865a""",1318044674,4da1a81adba474c65bef8cbf26ea865a,7660016,20,2026-02-24 21:54:47.546921,2023,1,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_jan_2023.json.zip,,
vacinacao_fev_2023_json.zip,"""29d7ac6fa60efc40515dd660869808d2""",1315739834,29d7ac6fa60efc40515dd660869808d2,7702332,20,2026-02-24 22:04:35.441752,2023,2,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_fev_2023.json.zip,,
vacinacao_mar_2023_json.zip,"""29d708a3fe7bbf8cc418ea946f801ccc""",1644552779,29d708a3fe7bbf8cc418ea946f801ccc,9758143,25,2026-02-24 22:17:06.143393,2023,3,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_mar_2023.json.zip,,
vacinacao_abr_2023_json.zip,"""4cd1a18085350198011b23fd57f38627""",2344327319,4cd1a18085350198011b23fd57f38627,13818302,35,2026-02-24 22:34:33.043379,2023,4,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_abr_2023.json.zip,,
vacinacao_mai_2023_json.zip,"""fe995f0284388b029561251355c38e14""",3185849647,fe995f0284388b029561251355c38e14,18659314,47,2026-02-24 22:57:50.895450,2023,5,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_mai_2023.json.zip,,
vacinacao_jun_2023_json.zip,"""bba46cb3cf34807d4a1f65d2d267bfcb""",2255040572,bba46cb3cf34807d4a1f65d2d267bfcb,13042676,33,2026-02-24 23:14:17.961310,2023,6,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_jun_2023.json.zip,,
vacinacao_jul_2023_json.zip,"""bd31ad554d500837ea9e2f585349ad5a""",2004621118,bd31ad554d500837ea9e2f585349ad5a,11605736,30,2026-02-24 23:30:02.634756,2023,7,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_jul_2023.json.zip,,
vacinacao_ago_2023_json.zip,"""88ca5af6d57643e16d47d2ecf3d48035""",1984292716,88ca5af6d57643e16d47d2ecf3d48035,11388732,29,2026-02-24 23:44:22.342810,2023,8,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_ago_2023.json.zip,,
vacinacao_set_2023_json.zip,"""4c80aecc35017ddf97202dd626960b32""",1768057081,4c80aecc35017ddf97202dd626960b32,10102665,26,2026-02-24 23:57:41.772758,2023,9,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_set_2023.json.zip,,
vacinacao_nov_2023_json.zip,"""c556ec22ef719cd357dcd8c1e4864e41""",780752443,c556ec22ef719cd357dcd8c1e4864e41,4387809,11,2026-02-25 00:03:25.866306,2023,11,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_nov_2023.json.zip,,
vacinacao_dez_2023_json.zip,"""548eaccb985333369f2dea8821391be7""",1316817818,548eaccb985333369f2dea8821391be7,7336181,19,2026-02-25 00:14:16.168799,2023,12,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_dez_2023.json.zip,,
vacinacao_jan_2024_json.zip,"""a4febd665db327db99e3cfa59e15aaf4""",1845034855,a4febd665db327db99e3cfa59e15aaf4,10474857,27,2026-02-25 00:27:40.380635,2024,1,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_jan_2024.json.zip,,
vacinacao_fev_2024_json.zip,"""0eebd6fdea360a0b156e304e0d8f95c5""",1696758119,0eebd6fdea360a0b156e304e0d8f95c5,8410981,22,2026-02-25 00:39:16.826203,2024,2,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_fev_2024.json.zip,,
vacinacao_mar_2024_json.zip,"""95fc140e63c15e1d535fd5cd988adbdf""",1675788898,95fc140e63c15e1d535fd5cd988adbdf,9532689,24,2026-02-25 00:51:04.232720,2024,3,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_mar_2024.json.zip,,
vacinacao_abr_2024_json.zip,"""954a8a7b078843503ee5ee9f264b1ca8""",2001049269,954a8a7b078843503ee5ee9f264b1ca8,11644713,30,2026-02-25 01:06:09.647371,2024,4,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_abr_2024.json.zip,,
vacinacao_mai_2024_json.zip,"""04743f0c2e7a73c035ffc7a36100afff""",1688105936,04743f0c2e7a73c035ffc7a36100afff,9565338,24,2026-02-25 01:17:56.186970,2024,5,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_mai_2024.json.zip,,
vacinacao_jun_2024_json.zip,"""8d06ab1255c62233ed74f11584b9bfa1""",2628037520,8d06ab1255c62233ed74f11584b9bfa1,14782975,37,2026-02-25 01:36:52.131816,2024,6,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_jun_2024.json.zip,,
vacinacao_jul_2024_json.zip,"""e5a55ec60d37bb6c2884497f7c1f3a9a""",1633230758,e5a55ec60d37bb6c2884497f7c1f3a9a,9280071,24,2026-02-25 01:48:33.926409,2024,7,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_jul_2024.json.zip,,
vacinacao_ago_2024_json.zip,"""65873cc3598eb0b4d8b82d9ee6b63aab""",1543811857,65873cc3598eb0b4d8b82d9ee6b63aab,7736720,20,2026-02-25 01:58:28.007205,2024,8,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_ago_2024.json.zip,,
vacinacao_set_2024_json.zip,"""7d583d72b3463d1086d377d0384040c3""",230153122,7d583d72b3463d1086d377d0384040c3,1181608,3,2026-02-25 02:00:37.620921,2024,9,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_set_2024.json.zip,,
vacinacao_out_2024_json.zip,"""b0f0b06bd240ccac7d423e7d83c0c32d-74""",1267315907,5f5a006c379909987f53f0e999457150,7621489,20,2026-02-25 02:10:10.503818,2024,10,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_out_2024.json.zip,,
vacinacao_nov_2024_json.zip,"""1a4a0d3c895fba98c26fd28712e467d9-77""",1308438017,a805238dc0d43747e9f1a9d9a6977dff,7846899,20,2026-02-25 02:19:51.202670,2024,11,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_nov_2024.json.zip,,
vacinacao_dez_2024_json.zip,"""16bf9acbbaa5745022a61932714156a4-55""",943416136,231e7459eb6fcd01e5314cf6826e5f96,5631048,15,2026-02-25 02:27:24.426088,2024,12,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_dez_2024.json.zip,,
vacinacao_abr_2025_json.zip,"""6803c1e78cec899ef72aaa261ca5e917-340""",2851191218,fc90f6057d0699029329e8637a9470ea,17400292,1,2026-02-25 05:30:50.874976,2025,4,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_abr_2025.json.zip,,
vacinacao_jan_2025_json.zip,"""688a1c869a8a44ea34cb32571da06ed6-213""",1782510876,4125e242edff9bb156537c870bd5d80a,10748175,1,2026-08-06 10:49:31.326290,2025,1,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/PNI/json/vacinacao_jan_2025_json.zip,,
